               CO2          CH4          N2O       CFC_11       CFC_12      CFC_113      HCFC_22       HFC125      HFC134a
YEARS                                                                                                                     
1983  5.194242e-04 9.029967e-07 4.596171e-07 9.055525e-10 1.469724e-09 1.992055e-10 1.693202e-10 4.838461e-17 0.000000e+00
1984  5.220648e-04 9.090255e-07 4.606643e-07 9.472372e-10 1.529303e-09 2.248435e-10 1.811159e-10 1.642619e-17 0.000000e+00
1985  5.242653e-04 9.158840e-07 4.617571e-07 1.013838e-09 1.597972e-09 2.561998e-10 1.932157e-10 3.546301e-17 0.000000e+00
1986  5.264507e-04 9.230190e-07 4.628953e-07 1.053202e-09 1.677772e-09 2.882215e-10 2.061564e-10 4.984141e-17 0.000000e+00
1987  5.292885e-04 9.312603e-07 4.640943e-07 1.105307e-09 1.765078e-09 3.284296e-10 2.205999e-10 1.201649e-16 0.000000e+00
1988  5.330977e-04 9.369019e-07 4.653540e-07 1.159734e-09 1.873355e-09 3.740780e-10 2.371604e-10 1.319599e-16 2.712204e-16
1989  5.355410e-04 9.433732e-07 4.671904e-07 1.215440e-09 1.951529e-09 4.167220e-10 2.546094e-10 1.359289e-16 1.917214e-15
1990  5.373317e-04 9.498999e-07 4.684804e-07 1.246230e-09 2.012776e-09 4.575762e-10 2.712892e-10 8.654684e-15 2.728528e-14
1991  5.392743e-04 9.564818e-07 4.693152e-07 1.268494e-09 2.058722e-09 4.941919e-10 2.874442e-10 1.270225e-13 2.667768e-13
1992  5.406097e-04 9.624553e-07 4.700740e-07 1.282657e-09 2.109129e-09 5.195069e-10 3.026152e-10 3.924571e-13 6.896173e-13
1993  5.416569e-04 9.641146e-07 4.706356e-07 1.284504e-09 2.134645e-09 5.325068e-10 3.143334e-10 8.091831e-13 1.283889e-12
1994  5.436753e-04 9.671567e-07 4.717131e-07 1.277209e-09 2.160578e-09 5.386062e-10 3.307925e-10 1.356350e-12 2.154487e-12
1995  5.466953e-04 9.708072e-07 4.724264e-07 1.269962e-09 2.187470e-09 5.416947e-10 3.460291e-10 1.993408e-12 5.802341e-12
1996  5.493662e-04 9.719134e-07 4.739745e-07 1.263615e-09 2.215613e-09 5.423860e-10 3.719105e-10 2.689234e-12 1.137072e-11
1997  5.512632e-04 9.742917e-07 4.753100e-07 1.256651e-09 2.230414e-09 5.396465e-10 3.798120e-10 3.413617e-12 1.899623e-11
1998  5.553303e-04 9.791590e-07 4.764180e-07 1.249972e-09 2.241713e-09 5.360540e-10 4.003561e-10 4.136344e-12 2.853533e-11
1999  5.582289e-04 9.835286e-07 4.776321e-07 1.243672e-09 2.252011e-09 5.322936e-10 4.135055e-10 5.050773e-12 3.913026e-11
2000  5.601714e-04 9.834179e-07 4.792257e-07 1.237135e-09 2.261351e-09 5.298060e-10 4.277581e-10 6.637106e-12 5.169051e-11
2001  5.625237e-04 9.825883e-07 4.803336e-07 1.229462e-09 2.264769e-09 5.265173e-10 4.450521e-10 8.187433e-12 6.931707e-11
2002  5.658017e-04 9.839710e-07 4.812594e-07 1.220556e-09 2.266687e-09 5.221818e-10 4.604677e-10 1.045829e-11 8.273226e-11
2003  5.697170e-04 9.865153e-07 4.822155e-07 1.209851e-09 2.265395e-09 5.175556e-10 4.740941e-10 1.205994e-11 9.681240e-11
2004  5.721148e-04 9.868472e-07 4.831717e-07 1.199335e-09 2.263310e-09 5.121605e-10 4.911198e-10 1.467182e-11 1.109840e-10
2005  5.750286e-04 9.864047e-07 4.843403e-07 1.188535e-09 2.260392e-09 5.087037e-10 5.083243e-10 1.751464e-11 1.287865e-10
2006  5.782155e-04 9.864047e-07 4.855545e-07 1.177877e-09 2.254138e-09 5.048012e-10 5.295840e-10 1.998540e-11 1.437638e-10
2007  5.806285e-04 9.895021e-07 4.866472e-07 1.167219e-09 2.244882e-09 4.995482e-10 5.516786e-10 2.280132e-11 1.594377e-10
2008  5.838761e-04 9.947012e-07 4.880435e-07 1.158076e-09 2.236126e-09 4.941143e-10 5.757709e-10 2.660843e-11 1.749252e-10
2009  5.862132e-04 9.967477e-07 4.891058e-07 1.148508e-09 2.225494e-09 4.905607e-10 5.972692e-10 3.189221e-11 1.856453e-10
2010  5.899161e-04 9.999557e-07 4.904262e-07 1.138987e-09 2.215071e-09 4.867809e-10 6.194532e-10 3.709528e-11 2.035393e-10
2011  5.932852e-04 1.002832e-06 4.919743e-07 1.128566e-09 2.203606e-09 4.822516e-10 6.397587e-10 4.331067e-11 2.211166e-10
2012  5.964417e-04 1.004049e-06 4.932643e-07 1.118902e-09 2.192348e-09 4.779936e-10 6.563073e-10 4.859155e-11 2.383667e-10
2013  6.005392e-04 1.008086e-06 4.946454e-07 1.110234e-09 2.181008e-09 4.736388e-10 6.742573e-10 5.772134e-11 2.630615e-10
2014  6.033164e-04 1.013009e-06 4.962693e-07 1.104076e-09 2.170460e-09 4.698008e-10 6.844250e-10 6.354852e-11 2.832775e-10
